[enrich] 995 cases to enrich (skipping 5 already up-to-date)
[1/995] BookMyShow Booking Decline Investigation           ✓ enriched in 150.7s → data/dossiers/3916821b-4473-4826-85ac-cb95878b97c1.json
[95/995] Fast Food Loyalty (2)                              ✗ fetch failed
[96/995] USA Hospital - Decline in NPS                      ✗ fetch failed
[97/995] USA Hospital                                       ✗ fetch failed
[98/995] Argentinean Bank (III of III)                      ✗ fetch failed
[99/995] Electronics Retailer (III of III)                  ✗ fetch failed
[100/995] Vitality Insurance, Inc.                           ✗ fetch failed
[101/995] Food Catering Company - DSO Increase               ✗ fetch failed
[102/995] Sample Cases Index                                 ✗ fetch failed
[103/995] Hong Kong Port (III of VII)                        ✗ fetch failed
[104/995] Hong Kong Port                                     ✗ fetch failed
[105/995] Health Insurance Profitability Decline             ✗ fetch failed
[106/995] Termite Control (II of V)                          ✗ fetch failed
[107/995] Knowledge for Action                               ✗ fetch failed
[108/995] Hamm's University                                  ✗ fetch failed
[109/995] Argentinean Bank (II of III)                       ✗ fetch failed
[110/995] Accounting Policies and Revenue Recognition        ✗ fetch failed
[111/995] Trucking Company Route Optimization Software Inves ✗ fetch failed
[112/995] Hong Kong Port (VI of VII)                         ✗ fetch failed
[113/995] Sony Risk Factors and Forward-Looking Statements   ✗ fetch failed
[114/995] FoodCo                                             ✗ fetch failed
[115/995] Competitor Reaction                                ✗ fetch failed
[116/995] Hong Kong Port (VII of VII)                        ✗ fetch failed
[117/995] Gift Wrapping Paper Production Comparability Betwe ✗ fetch failed
[118/995] Sandwich Bags (II of VII)                          ✗ fetch failed
[119/995] Sandwich Bags (III of VII)                         ✗ fetch failed
[120/995] Annual Wheat Consumption                           ✗ fetch failed
[121/995] Ubisoft Financial Statements Analysis              ✗ fetch failed
[122/995] Gas Stations and Convenience Stores                ✗ fetch failed
[123/995] Zoo Co                                             ✗ fetch failed
[124/995] Wine & Co                                          ✗ fetch failed
[125/995] Case 2: Interviewer intimidating, unclear thought  ✗ fetch failed
[126/995] 103 of 201                                         ✗ fetch failed
[127/995] Airport Operator Revenues                          ✗ fetch failed
[128/995] Sandwich Bags (I of VII)                           ✗ fetch failed
[129/995] Piano Market Sizing                                ✗ fetch failed
[130/995] Sheep Auction                                      ✗ fetch failed
[131/995] Mike Apparel                                       ✗ fetch failed
[132/995] China’s Cash Cost Curve                            ✗ fetch failed
[133/995] Gift Wrapping Paper (III of III)                   ✗ fetch failed
[134/995] Street Sweepers                                    ✗ fetch failed
[135/995] Smart Card Manufacturer (II of III)                ✗ fetch failed
[136/995] Thompson Healthcare                                ✗ fetch failed
[137/995] Sony Financial Services Derivative Instruments and ✗ fetch failed
[138/995] Case I                                             ✗ fetch failed
[139/995] GoNet Internet Service Provider                    ✗ fetch failed
[140/995] So Fresh and So Clean                              ✗ fetch failed
[141/995] Savvy Shoes                                        ✗ fetch failed
[142/995] Gumby's Pizza                                      ✗ fetch failed
[143/995] Institutional Asset Manager Fees                   ✗ fetch failed
[144/995] Freedom Bikes                                      ✗ fetch failed
[145/995] Management Consulting Case Study Workbook          ✗ fetch failed
[146/995] Moscow Cigarette Demand Estimation                 ✗ fetch failed
[147/995] Supermarket Layout                                 ✗ fetch failed
